GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.uteq.backend.security,LoginRateLimiter,50,69,5,7,12,13,4,8,1,5
,com.uteq.backend.security,JwtAuthFilter,0,105,1,7,0,32,1,6,0,3
,com.uteq.backend.security,ChatbotRateLimiter,14,56,1,7,5,10,1,7,0,4
,com.uteq.backend.security,JwtService,8,136,1,1,2,40,3,13,2,13
,com.uteq.backend.security,UserDetailsServiceImpl,0,55,0,0,0,14,0,4,0,4
,com.uteq.backend.service,UserAdminService,110,501,22,24,10,102,28,22,8,19
,com.uteq.backend.service,ReservationService,168,313,24,16,34,73,23,18,7,14
,com.uteq.backend.service,SubscriptionAvailabilityService,136,15,12,0,23,6,13,1,7,1
,com.uteq.backend.service,ConfigurationSystemService,20,140,0,2,5,36,1,10,1,9
,com.uteq.backend.service,ChatbotService,45,326,2,14,7,75,4,16,2,10
,com.uteq.backend.service,SuggestionAcquisitionService,36,185,6,4,5,46,7,11,3,10
,com.uteq.backend.service,VerificationEmailService,29,96,0,6,8,22,0,8,0,5
,com.uteq.backend.service,FavoriteService,34,154,1,3,5,28,4,11,3,10
,com.uteq.backend.service,NotificationService,210,216,14,10,46,55,19,12,9,10
,com.uteq.backend.service,BackupService,94,651,23,51,12,111,24,35,4,18
,com.uteq.backend.service,AuthService,285,466,18,14,46,98,21,18,11,12
,com.uteq.backend.service,LoanService,816,601,27,39,123,151,52,40,36,23
,com.uteq.backend.service,FullBackupService,45,296,17,21,7,68,19,17,3,14
,com.uteq.backend.service,CredentialQrService,7,75,0,2,2,17,0,7,0,6
,com.uteq.backend.service,BackupStorageService,92,259,13,15,7,42,11,14,0,11
,com.uteq.backend.service,EmailService,104,69,7,1,20,17,5,3,1,3
,com.uteq.backend.service,BackupScheduleService,136,419,9,27,10,94,14,29,5,20
,com.uteq.backend.scheduling,ReservationScheduler,0,80,0,2,0,24,0,7,0,6
,com.uteq.backend.scheduling,UserScheduler,5,23,1,1,1,8,1,3,0,3
,com.uteq.backend.scheduling,NotificationDueScheduler,6,91,0,2,0,25,1,5,1,4
,com.uteq.backend.repository,LoanProcedureRepositoryCustomImpl,86,3,2,0,14,1,3,1,2,1
,com.uteq.backend.repository,FineProcedureRepositoryCustomImpl,86,3,0,0,16,1,2,1,2,1
,com.uteq.backend.repository,LoanProcedureRepository,20,0,0,0,3,0,3,0,3,0
,com.uteq.backend.controller,CategoryDamageController,0,130,0,10,0,20,0,11,0,6
,com.uteq.backend.controller,BookController,0,104,0,0,0,23,0,12,0,12
,com.uteq.backend.controller,BackupController,8,362,6,20,0,61,6,19,0,12
,com.uteq.backend.controller,SubscriptionAvailabilityController,0,67,0,0,0,18,0,6,0,6
,com.uteq.backend.controller,AuditController,0,49,0,0,0,8,0,4,0,4
,com.uteq.backend.controller,FullBackupController,112,136,17,7,17,32,12,9,1,8
,com.uteq.backend.controller,AuthController,0,167,0,4,0,36,0,12,0,10
,com.uteq.backend.controller,ChatbotController,0,20,0,0,0,5,0,3,0,3
,com.uteq.backend.controller,UserAdminController,6,57,0,0,1,12,1,6,1,6
,com.uteq.backend.controller,StatusBookController,0,25,0,0,0,7,0,3,0,3
,com.uteq.backend.controller,SuggestionAcquisitionController,2,91,1,1,0,21,1,8,0,8
,com.uteq.backend.controller,PublisherController,0,80,0,2,0,18,0,7,0,6
,com.uteq.backend.controller,LanguageController,5,129,1,7,0,28,1,9,0,6
,com.uteq.backend.controller,NotificationController,0,14,0,0,0,4,0,2,0,2
,com.uteq.backend.controller,CategoryController,0,80,0,2,0,18,0,7,0,6
,com.uteq.backend.controller,ConfigurationSystemController,0,19,0,0,0,5,0,3,0,3
,com.uteq.backend.controller,CategoryDamageController.CategoryRequest,0,6,0,0,0,1,0,1,0,1
,com.uteq.backend.controller,PublicBookController,0,34,0,0,0,7,0,4,0,4
,com.uteq.backend.controller,AuthorController,0,71,0,0,0,16,0,6,0,6
,com.uteq.backend.controller,SupplierController,1,221,4,16,0,46,4,14,0,8
